AccX,AccY,AccZ,Tmp,GyroX,GyroY,GyroZ
-7192,6332,12176,32.81,-133,41,5
-7200,6468,12120,32.81,-311,-5,16
-7212,6460,12276,32.95,-202,4,6
-7276,6528,12136,32.86,-181,-33,14
-7204,6408,12232,32.86,-373,-86,13
-7168,6392,12440,32.81,20,-29,-52
-7180,6440,12240,32.91,-308,-11,18
-7156,6464,12228,32.91,-316,-64,16
-7220,6416,12224,32.86,-8,-7,-49
-7144,6428,12436,32.81,-414,37,29
-7104,6384,12324,32.77,-418,15,-7
-7124,6448,12252,32.81,-423,-65,9
-7160,6500,12220,32.81,-298,-54,-1
-7212,6396,12184,32.91,-184,-99,-30
-7216,6424,12420,32.91,-302,-12,15
-7192,6376,12164,32.77,39,-71,-50
-7296,6440,12532,32.91,-223,-70,-6
-7156,6404,12116,32.95,-140,-25,-36
-7136,6368,12316,32.95,-278,-45,30
-7196,6488,12140,32.81,-82,-7,-12
-7128,6544,12116,32.86,-188,-82,4
-7112,6440,12316,32.91,-184,27,19
-7248,6492,12372,32.86,-423,-56,37
-7072,6364,12296,32.86,-508,-69,3
-7120,6404,12192,32.86,-1,-83,-70
-7228,6448,12260,32.81,-373,-48,26
-7200,6396,12212,32.91,-388,-67,-8
-7140,6432,12276,32.86,-403,-64,21
-7172,6340,12304,32.81,-76,-2,-36
-7152,6480,12296,32.86,-324,-19,42
-7140,6372,12260,32.81,149,-28,-71
-7192,6492,12072,32.81,-742,-136,67
-7160,6432,12220,32.72,-74,-6,-28
-7188,6424,12240,32.81,-410,-78,23
-7168,6404,12216,33.00,0,-45,-63
-7212,6356,12540,32.81,-307,-110,0
-7312,6340,12332,32.91,1,18,-22
-7168,6420,12108,32.91,-249,-63,-6
-7192,6396,12388,32.86,24,-102,-45
-7168,6376,12052,32.81,-114,-111,-55
-7240,6372,12472,32.81,-352,-94,20
-7192,6504,12292,32.81,220,21,-48
-7148,6372,12172,32.86,-532,-75,43
-7144,6604,12392,32.81,-208,-75,-7
-7180,6452,12448,32.81,-306,-49,21
-7128,6436,12256,32.95,-238,-47,-7
-7200,6476,12240,32.81,-326,-42,13
-7144,6436,12304,32.91,194,13,-39
-7264,6492,12052,32.86,-851,-115,38
-7220,6460,12248,32.86,174,58,-60
-7200,6448,12024,32.86,-488,-139,8
-7004,6364,12412,32.86,-327,-64,10
-7200,6452,12380,32.81,-156,-82,-52
-7112,6388,12316,32.81,-373,-13,-3
-7220,6452,12232,32.86,-243,-100,-32
-7212,6332,12400,32.91,-98,-36,-30
-7212,6468,12204,32.95,-358,-35,22
-7124,6412,12332,32.91,-177,-16,-36
-7200,6496,12152,32.81,-107,-50,-70
-7220,6460,12312,32.91,-280,-115,10
-7136,6440,12108,32.91,-284,-46,-20
-7228,6468,12396,32.91,-307,-35,-2
-7212,6476,12328,32.86,-268,-57,-2
-7180,6500,12324,32.95,-77,-28,-46
-7180,6484,12260,32.81,-308,-10,13
-7216,6512,12348,32.91,-378,-19,-12
-7232,6344,12292,32.95,-136,-136,-6
-7276,6484,12300,32.95,-58,0,-16
-7132,6260,12168,32.91,-605,-100,22
-7056,6452,12132,32.86,-15,48,-28
-7104,6376,12352,32.91,-468,-82,8
-7184,6416,12304,32.86,142,-2,-59
-7312,6532,12336,32.91,-443,-138,5
-7200,6344,12268,32.81,38,-74,-21
-7144,6464,12148,32.91,-92,-148,-23
-7216,6308,12304,32.91,-574,-77,8
-7220,6428,12020,32.86,34,3,-35
-7088,6468,12332,32.95,-557,-103,25
-7364,6392,12388,32.86,-165,-42,-6
-7104,6396,12224,32.86,-346,-73,0
